id,entity_type,external_id,name,address,latitude,longitude,category,has_image_candidate,duplicate_source_table,duplicate_source_id,duplicate_match_score,score,review_bucket,review_reasons,source_url
392,restaurant,osm-node-6357894214,Lotteria,Da Nang,16.0660834,108.2200417,am-thuc-dia-phuong,False,locations,34,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/6357894214
394,restaurant,osm-node-729406385,Cafe Win,Da Nang,16.0746726,108.2187015,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406385
400,restaurant,osm-node-729406391,Cafe Truc Phuong,Da Nang,16.0684586,108.1500026,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406391
401,restaurant,osm-node-729406392,Ca Phe 83,Da Nang,16.0785765,108.2193388,ca-phe-tra-sua,False,locations,54,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/729406392
402,restaurant,osm-node-729406393,Cafe Dong Xanh,Da Nang,16.0640577,108.2208466,ca-phe-tra-sua,False,locations,94,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/729406393
410,restaurant,osm-node-729406402,Ca Phe Thuan,Da Nang,16.0515981,108.1700044,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406402
418,restaurant,osm-node-729406411,AnhLinh Coffee,Da Nang,16.0703982,108.2013201,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406411
424,restaurant,osm-node-729406417,AnhLinh Coffee,Da Nang,16.0851302,108.2196914,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406417
426,restaurant,osm-node-729406419,324Coffee,Da Nang,16.0569901,108.2128107,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406419
428,restaurant,osm-node-729406422,BaoNhi Coffee,Da Nang,16.0822257,108.2399242,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406422
438,restaurant,osm-node-729406432,Ca Phe New Life,Da Nang,16.0659805,108.2200312,ca-phe-tra-sua,False,locations,34,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/729406432
442,restaurant,osm-node-729406437,Ca Phe Chieu Tim,Da Nang,16.0860629,108.2405662,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406437
444,restaurant,osm-node-729406439,Cafe153,Da Nang,16.0905214,108.2428407,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406439
450,restaurant,osm-node-729406446,Ca Phe Giai Khat Yen Trang,Da Nang,16.0864224,108.2407112,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406446
461,restaurant,osm-node-729406457,Ca Phe Paris Da,Da Nang,16.0733682,108.214039,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406457
465,restaurant,osm-node-729406461,Ca Phe Trung,Da Nang,16.056491,108.1666315,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406461
466,restaurant,osm-node-729406462,Ca Phe Cam Ni,Da Nang,16.0525482,108.1796323,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406462
467,restaurant,osm-node-729406463,Ca Phe Bien Nho,Da Nang,16.0559075,108.2444179,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406463
469,restaurant,osm-node-729406465,Cafe Giai Khat 417,Da Nang,16.0693105,108.2051503,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406465
473,restaurant,osm-node-729406471,55Coffee,Da Nang,16.0733415,108.1775719,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406471
477,restaurant,osm-node-729406475,Trung Nguyen Coffee,Da Nang,16.0311905,108.2242256,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406475
